1= M 
47= Adameh 
47= Arali 
47= Baju 
47= D.E.R.N. 
47= Eris 
47= Hadad 
47= I.H.S.V. 
47= Khut 
47= O.T.O. 
47= Omkar 
47= Sar 
47= Silba 
47= U.N.O. 
47= U.S.D. 
47= Viril 
48= Achad 
48= Aditi 
48= Adon 
48= AL-GO-LA 
48= Anti 
48= Ayam
48= Bera 
48= Goyim 
48= H.P.K. + R.H.K. 
48= Holon 
48= Jachin 
48= Kapila 
48= Mars 
48= Maya 
48= Moria 
48= N.W.O. 
48= O.B.O.D. 
48= OVAL 
48= Shan 
48= Vrihl 
49= Alya 
49= Apis 
49= Clear 
49= Graal 
49= Hadit 
49= Jahve 
49= Jubal 
49= Khabs 
49= Monad 
49= N.A.E.Q. 
49= NOX 
49= Padma 
49= PAX 
49= S.E.T.I. 
49= Tule 
49= Yao 
50= Adar 
50= Agam Lok 
50= Allalu 
50= Alyn 
50= Apep 
50= Aum Ha 
50= B'moth 
50= Cohen 
50= Diana 
50= Donmeh 
50= E-Meslam 
50= Enoch 
50= Evoe! 
50= Gaonim 
50= Heru 
50= Hoor 
50= Huna 
50= I.G.W.T. 
50= Kaaba 
50= Kamagol 
50= King Leo
50= MANZ 
50= Mayhem 
50= Obama 
50= Obeah 
50= Q'uo 
50= R.A.W. 
50= Raum (40) 
50= Rimmon 
50= Seth 
50= Simon 
50= U.S.A. 
50= Vahid 
50= W.T.C. 
51= Circle 
51= Dove 
51= Dugja 
51= E.J. Ekker 
51= Helios 
51= Iowa 
51= Ipos (22) 
51= Juno 
51= Khuit 
51= Leraje (14) 
51= Mabon 
51= Manna 
51= Mohammed 
51= Onoel 
51= Ptah 
51= Semeliel 
51= Sun 
51= Teth 
51= Uriel 
51= Xemu 
52= A L G M O R 
52= Abra 
52= Arche 
52= Aten 
52= Aumgn 
52= Balon 
52= Bune (26) 
52= Dorje 
52= Ekara 
52= Eligos (15) 
52= Hriliu 
52= IOUO 
52= Khepri 
52= Kteis 
52= Laus 
52= Memphis 
52= Mulier 
52= Nephilim
52= Nut 
52= O.S.V. 
52= Pope 
52= Rhyhl 
52= Salu 
52= Vau 
53= Agape 
53= Alakh Lok 
53= Alayi 
53= Amrit 
53= Beleth (13) 
53= Big Ben 
53= Cimeies (66) 
53= Cuba 
53= Cumael 
53= Daimon 
53= Delight 
53= Hell Fire 
53= Jadoo 
53= Jon Gee 
53= Lanello 
53= Mitra 
53= Moksha 
53= Moriah 
53= Orlog 
53= Q.E.Q.N. 
53= Samael 
53= Tula 
53= Xmas 
53= YHVH 
54= A.M.O.R.C. 
54= Awen 
54= Azag 
54= Babaji 
54= Cohan 
54= Dagon 
54= Dirigo 
54= eBay 
54= Erra 
54= FedEx 
54= Hadith 
54= Ik Omkar 
54= Jah Bul 
54= Jibra'il 
54= Logos 
54= Malona 
54= MUAUM 
54= Ordo 
54= Papa 
54= S.S.S. 
54= Siva
54= Snake 
54= Tai-Ch'i 
54= Thule 
54= VISA 
54= Vual (47) 
54= Yaho 
54= YHWH 
55= Ares 
55= Arman 
55= Berlin 
55= Bohemia 
55= Chi-Rho 
55= Daleth 
55= Dallas 
55= Deosil 
55= Deus 
55= Fatima 
55= God Man 
55= Hekate 
55= Henoch 
55= Hitler 
55= Indra 
55= Jhesu 
55= L Moriah 
55= Lorelei 
55= Maius 
55= Mensch 
55= Michigan 
55= Mohammad 
55= N.A.S.A. 
55= Na'amah 
55= Nekalah 
55= Pales 
55= Rinri 
55= R'lyeh 
55= Salome 
55= Shua 
55= Sieg Heil 
55= Thelema 
55= Thor 
55= Zion 
56= Albedo 
56= Anoah 
56= B.O.T.A. 
56= Balor 
56= Buer (10) 
56= Dharma 
56= Dogon 
56= Dollar 
56= Dubai 
56= Einigen
56= El Meru 
56= Gort 
56= Gotha 
56= Ihowa 
56= Isais 
56= Kheper 
56= Laylah 
56= Liber AL 
56= Liberal 
56= Mallona 
56= Nemicu 
56= Nephelim 
56= No God 
56= Nuit 
56= Paar 
56= Phtah 
56= Pthah 
56= Solis 
56= Sollog 
56= Svali 
56= Utah 
56= Valac (62) 
56= VALIS 
57= Adolph 
57= Amenti 
57= Amerika 
57= Ankar 
57= Apas 
57= Aset 
57= Bindu 
57= Cairo 
57= Daath 
57= Daemon 
57= Emerald 
57= Eros 
57= Fanisk 
57= Gorloj 
57= Hermes 
57= In Lak'ech 
57= Isabell 
57= Jubela 
57= Kampala 
57= Khezr 
57= Lagrgal 
57= Lucibel 
57= Magus 
57= Meharmeh 
57= Muhammed 
57= Naos 
57= O Nommo 
57= Ogmios
57= Rose 
57= Shax (44) 
57= Thyle 
57= Wicca 
58= A E I O U 
58= Abenmeh 
58= Aton 
58= Azael 
58= Belet-ili 
58= Brahma 
58= D.P.V.O. 
58= Ek Omkar 
58= FENEX 
58= Gott 
58= Hawaii 
58= IO Pan 
58= Jeova 
58= Khauga 
58= L'Gy'Hx 
58= LuWEF 
58= Mason 
58= Midgard 
58= Mithra 
58= Monas 
58= N.A.T.O. 
58= Nergal 
58= Nest 
58= Nimrod 
58= Othiq 
58= Rebis 
58= Sidon 
58= Uhane 
59= A.A.S.R. 
59= Alaska 
59= Apollo 
59= Aries 
59= Balder 
59= Cefalu 
59= Chakra 
59= Chaos 
59= Chohan 
59= Druid 
59= Eleven 
59= EURO 
59= George 
59= Had & Nu 
59= Jubelo 
59= Kachina 
59= Kutha 
59= Lai Tsi 
59= Mayab
59= Mexico 
59= Mouth 
59= Onkar 
59= Paimon (9) 
59= Puella 
59= Seere (70) 
59= Shiva 
59= Spica 
59= Thirmeh 
59= Tlaloc 
59= Tyr 
59= Urilia 
59= Wihinei 
60= Amoun 
60= Asket 
60= Bab-Ilu 
60= Byrd 
60= Dejung 
60= Duat 
60= Fifty 
60= Gabriel 
60= Irminen 
60= Jehovih 
60= Jewish 
60= Kadath 
60= Kether 
60= Lidagon 
60= Monos 
60= Mormon 
60= Nogahel 
60= Obelisk 
60= Odalism 
60= Pepsi 
60= Puer 
60= Sol Ilu 
60= Tara 
60= Ubar 
60= Yahu 
61= Absu 
61= Al Azif 
61= Alchemy 
61= Anami Lok 
61= Aosah 
61= Ayala 
61= Besz 
61= Boaz 
61= Bolon Ik 
61= Cao-Dai 
61= Ceres 
61= Earth 
61= E-Meter
61= Frodo 
61= Gandalf 
61= H.A.A.R.P. 
61= Halgadom 
61= Heart 
61= Hotep 
61= Illinois 
61= Immanuel 
61= Israel 
61= John Dee 
61= Ketub 
61= Krist 
61= Mentu 
61= Muhammad 
61= Nuith 
61= Pallas 
61= Phthah 
61= Sekhet 
61= Smeagol 
61= Telos 
61= Urlac 
61= Virgo 
61= Yamski 
62= Akasha 
62= Alabama 
62= Azelia 
62= Bfmaat 
62= Birsa 
62= Cybele 
62= Diamond 
62= Djeudje 
62= Draco 
62= Dugpa 
62= ECKist 
62= Ganesh 
62= Gerion 
62= Hecate 
62= Heredom 
62= Iannu 
62= Kutu 
62= Lamagra 
62= Lhamanha 
62= Liahona 
62= Mabus 
62= Mahatma 
62= Marduk 
62= May King 
62= Oghmios 
62= Orion 
62= Ramkar 
62= Rising
62= Samna'il 
62= Sitri (12) 
62= Skidoo 
62= Taro 
62= Thoth 
62= Tollan 
62= Tora 
62= UNICEF 
62= Vimana 
62= Wah Z 
62= Wild Man 
62= Zadkiel 
63= Albus 
63= Aralu 
63= Atlas 
63= Atma Lok 
63= Auriel 
63= Chiron 
63= Collins 
63= Crocell (49) 
63= El Moriah 
63= Goetia 
63= Guru 
63= H.R. Giger 
63= I, Witch 
63= Jehova 
63= Kalighat 
63= Kapalika 
63= Kephos 
63= Kosmon 
63= Kraat 
63= Krsna 
63= Mathrem 
63= Mizraim 
63= Moroni 
63= Oklahoma 
63= P'taah 
63= Qulielfi 
63= Set-Heh 
63= Shemesh 
63= Shining 
63= Shugal 
63= Silence 
63= Sollon 
63= Theta 
63= Tolkien 
63= Tuella 
63= WWW 
63= Xenu 
63= Zonei 
64= Adarmeh
64= Adonai 
64= Ahriman 
64= Ambigram 
64= America 
64= Andolo 
64= Ashar 
64= Bathin (18) 
64= Ben Ben 
64= Berith (28) 
64= Brasil 
64= B'rit Am 
64= CCXX 
64= Clonaid 
64= Esus 
64= Israfil 
64= Kallisti 
64= Lemuria 
64= Marax (21) 
64= Mein Kampf 
64= Mer Ka Ba 
64= Ogdoad 
64= Ompehda 
64= One God 
64= Pelican 
64= Petale 
64= Pleione 
64= Rongo 
64= Srulik 
64= Teufel 
64= Tubal 
64= UR-OMA 
64= Virgin 
64= Vrilum 
64= Wanga 
65= Amrita 
65= Apsu 
65= Arhat 
65= Athene 
65= Barack 
65= Bel-Aos 
65= Benfica 
65= Bennu 
65= Bon-pa 
65= Darda'il 
65= Emmanuel 
65= Fascio 
65= Florida 
65= Gog & Magog 
65= Gramaha 
65= INGSOC 
65= IO Eris
65= Kahuna 
65= Khephra 
65= Kosher 
65= Malphas (39) 
65= Mothman 
65= Noahide 
65= Orias (59) 
65= Orval 
65= Pasu 
65= Saklas 
65= Shrine 
65= The Mark 
65= Vajra 
65= Woden 
65= Yahuh 
66= Abhoth 
66= Alloces (52) 
66= Altair 
66= Ashlar 
66= Bafath 
66= Botis (17) 
66= Buddha 
66= Camelot 
66= Chacra 
66= Clergy 
66= Cutha 
66= Deros 
66= El-Sollog 
66= Freeman 
66= Gaubni 
66= Heaven 
66= Hestia 
66= Hydra 
66= I am Alone 
66= Ik Onkar 
66= Jubelum 
66= Lobesam 
66= Mana-Loa 
66= Mathra 
66= Merdedmeh 
66= Messiah 
66= Ramtha 
66= Sallos (19) 
66= Selorik 
66= Spot 
66= Star 
66= Sugmad 
66= The Bab 
66= Thugee 
66= Tulan 
66= Tyella
66= Wenohim 
66= Zedekiel 
67= All is God 
67= Amarna 
67= Anckar 
67= Bethlehem 
67= Birsha 
67= Black God 
67= Bon-po 
67= Falcifer 
67= Georgia 
67= Hu & Saa 
67= Inanna 
67= Indiana 
67= Isaria 
67= Ishkur 
67= Ithobal 
67= Janus 
67= Kalikata 
67= Kamehameha 
67= Martial 
67= Morya 
67= N.S.D.A.P. 
67= Peter 
67= Phidias 
67= Pileus 
67= Ta-Nech 
67= The Law 
67= The One 
67= Tiamat 
67= Torah 
67= Wisdom 
67= Zagan (61) 
68= Atenai 
68= Beast 
68= Belicena 
68= Belisama 
68= Black Flame 
68= Chac Mool 
68= Dagdagiel 
68= E. Byrd 
68= Ekankar 
68= Foras (31) 
68= Gregor 
68= Grigori 
68= Jacobin 
68= Jehovah 
68= Jesus 
68= Judaism 
68= Julius 
68= Kairos
68= Kanaloa 
68= Klaatu 
68= Kraath 
68= Lucifer 
68= New Age 
68= New Man 
68= Nura'il 
68= Orgasm 
68= Phallos 
68= Pwcca 
68= Reficul 
68= Religion 
68= Retz 
68= Simon Iff 
68= Sohang 
68= Sophia 
68= Theban 
68= Thuella 
68= U.S.S.A. 
68= UNITA 
69= An Ordi 
69= ARC+KRC 
69= Athena 
69= B'rith Am 
69= Chackra 
69= DeMolay 
69= Free Will 
69= Goslar 
69= Graphiel 
69= Halphas (38) 
69= He's Here 
69= Hesus 
69= Jah-Bel-On 
69= Kalibur 
69= King Felix 
69= Kullulu 
69= L Morya 
69= Maka'ara 
69= Malehuda 
69= Merkabah 
69= Nibiru 
69= Orus 
69= Raflifu 
69= Semjase 
70= A Mason 
70= A.A.O.N.M.S. 
70= Aaton 
70= Adonis 
70= Ammon Ra 
70= Aurum 
70= Bramaha
70= Brazil 
70= Cancer 
70= Columba 
70= Demeter 
70= DHvSS 
70= Dracul 
70= Dryad 
70= Ek Onkar 
70= EL Elyon 
70= Em Hotep 
70= Faithism 
70= Fascism 
70= Hail Eris 
70= Heka-On-Ka 
70= Iak-Sakkak 
70= Kalagya 
70= LAShTAL 
70= Oriflamma 
70= Pashu 
70= Pindar 
70= Pluto 
70= Samigina (4) 
70= Set-An 
70= The US 
70= Tuat 
70= VIAOV 
70= Wyrd 
70= Xeper 
70= XXXI 
70= Yah-Sa 
70= Zedekieil 
70= Zeus 
70= ZoSo 
70= Zwack 
71= Amissio 
71= Art Bell 
71= 'Azra'il 
71= Baldur 
71= Behemoth 
71= Bokrug 
71= Brahman 
71= Chief of All 
71= Dark Flame 
71= Dragon 
71= Egypt 
71= Eltanin 
71= GOTOS 
71= Heilige Vehm 
71= Marbas (5) 
71= Milarepa 
71= N'Aton
71= Nigredo 
71= One Light 
71= Pater 
71= Phanes 
71= Phenex (37) 
71= Raphael 
71= Set-Hen 
71= Shalicu 
71= Shamash 
71= Shanti 
71= Skiddoo 
71= Soltec 
71= Sphere 
71= T.O.P.Y. 
71= Thyella 
71= Unihipili 
71= Unus 
72= Algol Lilith 
72= Annwn 
72= Apollon 
72= Aprilis 
72= Arddhu 
72= Aset Ka 
72= Attis 
72= Belesama 
72= Chilam Balam 
72= Clarion 
72= CREST 
72= Darkat 
72= December 
72= F.U.D.O.S.I. 
72= Grummet 
72= Hagbard 
72= Hashishim 
72= Hathor 
72= Humbaba 
72= Itztli 
72= Khaled Khan 
72= Krishna 
72= Maggogpa 
72= Monolith 
72= Moonchild 
72= Mordor 
72= Most High 
72= Mothallah 
72= Nazism 
72= Oahspe 
72= Oregon 
72= Peacock 
72= Pinda Lok 
72= Rojismo
72= Vepar (42) 
72= Vrillon 
72= Zohar 
73= Agares (2) 
73= Aiwaz 
73= Argus 
73= Avalon 
73= Beltane 
73= Bensalem 
73= C.C. Zain 
73= CDXVIII 
73= Christ 
73= Coph Nia 
73= Demiurge 
73= Evil Eye 
73= Eye See 
73= Fasces 
73= Germania 
73= GESARA 
73= Gnosis 
73= Gondor 
73= Hagalaz 
73= Herakles 
73= Hubur 
73= I am Nuit 
73= Ilyaos 
73= Jhesus 
73= Joshua 
73= Kal force 
73= Kalatan 
73= Khazar 
73= Khonsu 
73= Love God 
73= Merkava 
73= Mulciber 
73= Nalvage 
73= New Deal 
73= Phorlakh 
73= Pisces 
73= Semjasa 
73= Sowilo 
73= Submit 
73= Terra 
73= Vajroli 
73= Wadjet 
73= Wisemen 
73= Xolotl 
73= Zaphkiel 
74= Abatu 
74= Ahamkara 
74= Algorab
74= Atonai 
74= Azoth 
74= Black Fire 
74= Bobileth 
74= Carcer 
74= Chardad 
74= Columbia 
74= Dark Mark 
74= Ganesha 
74= Hafskjold 
74= Harakiri 
74= Horus 
74= I am You 
74= Ishkomar 
74= Kalagiya 
74= Kata Daki 
74= Limen Caelo 
74= Madonna 
74= Mahanta 
74= Mahound 
74= Melencolia 
74= Nevada 
74= Nothing 
74= One Eye 
74= Phallus 
74= Pohnpei 
74= Sanat 
74= Satan 
74= The Moon 
74= Thelemite 
74= Val d'Or 
74= Vryal 
74= Wrath 
74= Xibalba 
74= Yahweh 
74= Yaohu 
74= Yeshu 
75= Agharti 
75= Aussik 
75= Azonei 
75= Azrael 
75= Babalon 
75= Bashar 
75= Daoloth 
75= F.U.C.K.U.P. 
75= Genesis 
75= Gusion (11) 
75= H.P.K. + R.H.K. + H.R.H. 
75= Har-Makhu 
75= Hoderagi 
75= Ishtar
75= Leonard 
75= Master 
75= Matrix 
75= Maypole 
75= Minerva 
75= Nag Hammadi 
75= Niantiel 
75= Nodens 
75= Osiris 
75= Palladism 
75= Ridvan 
75= Roerich 
75= Rudra 
75= Sat Nam 
75= Shamballa 
75= Vayu 
75= Wendigo 
75= Zos Kia 
76= Algoliath 
76= Anthon 
76= Aossic 
76= Arcadia 
76= Armanen 
76= Authiq 
76= Bonzo 
76= Bundy 
76= Cohanul 
76= Cyaegha 
76= Druk-pa 
76= Focalor (41) 
76= Ganzir 
76= Guru Ma 
76= Hanuman 
76= Hatonn 
76= Havona 
76= Jerusem 
76= Jim Eshelman 
76= Kansas 
76= Key of Life 
76= Kukulkan 
76= Lamb of God 
76= Mahabone 
76= Mana-Mana 
76= Mithras 
76= Mnb Snmt 
76= Murmur (54) 
76= Myrddin 
76= O.I.V.V.I.O. 
76= Rofocal 
76= Sunna 
76= Tamuz
76= Tekton 
76= Texet 
76= The Wheel 
76= Thetan 
76= Tzadikim 
76= Uthark 
76= V.I.O.O.I.V. 
76= Vindex 
76= Viridis 
76= Virya 
76= Wiligut 
76= Zepar (16) 
77= Akhkharu 
77= Any God 
77= Arachne 
77= Arahat 
77= Aryan 
77= Bafometh 
77= Beltaine 
77= Caellsan 
77= Cthugha 
77= Druids 
77= El Morya 
77= Hidden God 
77= Ia-Besz 
77= IEOUAMS 
77= J.F.C. Fuller 
77= Kennedy 
77= Levanael 
77= Life Force 
77= Lucifuge 
77= Magical Child 
77= Man-Sun 
77= Men In Black 
77= Minerval 
77= Nazgul 
77= Nu-Isis 
77= Ponape 
77= Tammuz 
77= The Skull 
77= The Tomb 
77= Tir Odal 
77= Vampire 
77= Vesta 
77= Vulcan 
78= Aktlal Maka 
78= Anubis 
78= Arjuna 
78= Armilius 
78= Astar 
78= 'Azazil
78= Be as God 
78= Corabiel 
78= Cypher 
78= Deitus 
78= Derketo 
78= Dumuzi 
78= Eckankar 
78= Golgotha 
78= Green Man 
78= Hag-All All-Hag 
78= Melencolia I 
78= Merkavah 
78= Metharia 
78= Oannes 
78= Sigillum Dei 
78= Sothis 
78= Tubalo 
78= Vindos 
78= Volund 
78= Vril Ya 
78= Zionism 
79= Artemis 
79= Baffomet 
79= Bona Dea 
79= Cumorah 
79= David Icke 
79= Eternal 
79= Exxon 
79= Haagenti (48) 
79= Harakhan 
79= Heru Aha 
79= Heru Ra 
79= Hoor Aha 
79= Hoor Ra 
79= Iacchus 
79= Irminsul 
79= Junius 
79= Kronos 
79= L. Luycx 
79= Leysola 
79= Oak of God 
79= Orcus 
79= Plejaren 
79= Rubedo 
79= Tahuti 
79= Texas 
79= Unity 
79= Venus 
79= Wotan 
79= Yaohuh 
80= Abaddon
80= Abramelin 
80= Alaya Lok 
80= Astor 
80= Aumakua 
80= Bahamut 
80= Belisana 
80= Billy Meier 
80= Blue Lodge 
80= Davcina 
80= Fulcanelli 
80= Genitalia 
80= Haures (64) 
80= Heracles 
80= Higher Self 
80= Hiram Abiff 
80= Holy Bible 
80= Jahwus 
80= Jeheshua 
80= Koot Humi 
80= Kthunae 
80= Kundalini 
80= Laetitia 
80= Liber Legis 
80= Liber OZ 
80= Lucifera 
80= Mahatmas 
80= Marianne 
80= May Day 
80= N.E.S.A.R.A. 
80= Qliphoth 
80= Red Shield 
80= Sai Baba 
80= Sara Kali 
80= Sator 
80= Scarab 
80= Secret 
80= Seraphim 
80= Shamballah 
80= Shambhalla 
80= Therion 
80= Thuban 
80= Ti and Do 
80= Truth 
80= Uriens 
80= V.I.T.R.I.O.L. 
80= Valefor (6) 
80= Virginia 
80= Vishnu 
81= A E I O U Y 
81= A'ano'nin 
81= Ain Soph
81= AL Morya 
81= Andras (63) 
81= Annuit 
81= Atonism 
81= Baha'u'llah 
81= Belarion 
81= Boleskine 
81= Brugpa 
81= C K L S F V W 
81= Cthulhu 
81= Dubh Sidh 
81= Dzyan 
81= Ethiopia 
81= Havah-Jod 
81= Hyksos 
81= Ichthus 
81= Illuminati 
81= Jah-Bul-On 
81= Jod-Havah 
81= K'Taagar 
81= Maha Sun 
81= Mah-Ha-Bone 
81= Man In Black 
81= Nug & Yeb 
81= Oldspeak 
81= Phoenix 
81= Pyramid 
81= Quest 
81= Rebirth 
81= Sabnock (43) 
81= Set-Hor 
81= Sirius 
81= Smirnoff 
81= Target 
81= Tarot 
81= Thamuz 
81= Triangle 
81= Utchet 
81= Vapula (60) 
82= Abuldiz 
82= Abyss 
82= Aosoth 
82= Araliya 
82= Ashars 
82= Aussic 
82= Ausso 
82= Azazel 
82= Bill Gates 
82= Celephais 
82= Communism 
82= Dracula
82= Easter 
82= Europe 
82= Had & Nuit 
82= Hatton 
82= Kali Yuga 
82= May Lady 
82= Melchizedek 
82= Nu & Hadit 
82= Orthon 
82= Polaris 
82= Reason 
82= Rod of ECK 
82= Sethos 
82= Shriner 
82= Shudde M'ell 
82= Thammuz 
82= The USA 
82= Vruna 
82= Wyoming 
82= Xochipilli 
83= Agartha 
83= Apophis 
83= Ashtar 
83= Avaris 
83= Baal-Moloch 
83= Bahlasti 
83= Bel Marduk 
83= Canicula 
83= Columbine 
83= Djwhal Khul 
83= Dor Jar El 
83= Futhark 
83= Hexagram 
83= Hikuptah 
83= Kukulcan 
83= Laus Deo 
83= Leo Taxil 
83= Leo Zagami 
83= Melancholia 
83= Moglthox 
83= Ras Algol 
83= Santini 
83= Semiramis 
83= Shaitan 
83= Stolas (36) 
83= Sunbeam 
83= The Sun 
83= Vukodlak 
84= Adramelech 
84= Alphabet 
84= Athtar
84= Avinash 
84= Baal-Hadad 
84= Bayern 
84= Bifrons (46) 
84= Coca Cola 
84= Dark Kiss 
84= Divine King 
84= Egregore 
84= Eostre 
84= Fight Club 
84= Furcas (50) 
84= Hunab Ku 
84= Hung Mung 
84= Ichthys 
84= Knowledge 
84= Krumm-Heller 
84= Kutulu 
84= Lamed Vav 
84= Liberty 
84= Max Heindel 
84= Minister 
84= Montana 
84= Oholyao 
84= Ordeal X 
84= Perfect 
